publication_key,oa_id,doi_raw,doi_clean,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors
doi:10.1002/aepp.13275,W4225008403,https://doi.org/10.1002/aepp.13275,10.1002/aepp.13275,Food insecurity and time use in elderly vs. non‐elderly: An exploratory analysis,2022,2022-04-27,article,8,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,3
doi:10.1016/j.forpol.2023.103115,W4388995879,https://doi.org/10.1016/j.forpol.2023.103115,10.1016/j.forpol.2023.103115,Retention of highly qualified wildland firefighters in the Western United States,2023,2023-11-25,article,8,Forest Policy and Economics,1389-9341,Elsevier BV,FALSE,FALSE,3
doi:10.1108/bfj-09-2021-1000,W4220717619,https://doi.org/10.1108/bfj-09-2021-1000,10.1108/bfj-09-2021-1000,"Geographical indications' prices and marketing margins: the role of group size, longevity and production decisions",2022,2022-03-23,article,5,British Food Journal,0007-070X,Emerald Publishing Limited,FALSE,FALSE,3
doi:10.1038/s41598-022-12253-x,W4280497021,https://doi.org/10.1038/s41598-022-12253-x,10.1038/s41598-022-12253-x,Modeling the systemic risks of COVID-19 on the wildland firefighting workforce,2022,2022-05-18,article,5,Scientific Reports,2045-2322,Nature Portfolio,TRUE,FALSE,5
doi:10.22004/ag.econ.311309,W3185528076,https://doi.org/10.22004/ag.econ.311309,10.22004/ag.econ.311309,COVID-19 and the Renewed Migration to the Rural West,2021,2021-01-01,article,10,"AgEcon Search (University of Minnesota, USA)",NA,University of Minnesota Rochester,TRUE,FALSE,6
doi:10.1177/0272989x211021603,W3168577360,https://doi.org/10.1177/0272989x211021603,10.1177/0272989x211021603,Maximizing the Efficiency of Active Case Finding for SARS-CoV-2 Using Bandit Algorithms,2021,2021-06-14,article,9,Medical Decision Making,0272-989X,SAGE Publishing,TRUE,FALSE,16
doi:10.1088/1748-9326/add35e,W4410022855,https://doi.org/10.1088/1748-9326/add35e,10.1088/1748-9326/add35e,"Inland flooding in the United States: a review of research related to risk management, economic behavior, and data resources",2025,2025-05-02,article,1,Environmental Research Letters,1748-9326,IOP Publishing,TRUE,FALSE,5
doi:10.1002/aepp.70037,W4416337945,https://doi.org/10.1002/aepp.70037,10.1002/aepp.70037,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,2025,2025-11-18,article,1,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4
doi:10.3368/le.102.3.012626-0015,W7135135882,https://doi.org/10.3368/le.102.3.012626-0015,10.3368/le.102.3.012626-0015,Are Mobile Device Location Data a Substitute for Travel Cost Surveys?,2026,2026-03-11,article,1,Land Economics,0023-7639,University of Wisconsin Press,TRUE,FALSE,3
doi:10.21273/hortsci15871-21,W3171907984,https://doi.org/10.21273/hortsci15871-21,10.21273/hortsci15871-21,GMO Turfgrass Introduction to the Market: Acceptance and Market Simulations for Connecticut Consumers,2021,2021-06-02,article,3,HortScience,0018-5345,American Society for Horticultural Science,TRUE,FALSE,3
doi:10.1002/jaa2.95,W4391281161,https://doi.org/10.1002/jaa2.95,10.1002/jaa2.95,Farm to school programming spillovers and households' fruits and vegetables purchases,2024,2024-01-26,article,1,Journal of the Agricultural and Applied Economics Association,2769-2485,Wiley,TRUE,FALSE,3
doi:10.1017/s1742170519000371,W2981340085,https://doi.org/10.1017/s1742170519000371,10.1017/s1742170519000371,Enhancing understanding of food purchasing patterns in the Northeast US using multiple datasets,2019,2019-10-25,article,3,Renewable Agriculture and Food Systems,1742-1705,Cambridge University Press,TRUE,FALSE,6
doi:10.1002/aepp.13130,W3120068039,https://doi.org/10.1002/aepp.13130,10.1002/aepp.13130,School meals and quality of household food acquisitions,2021,2021-01-07,article,1,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,5
doi:10.54605/fec20210204,W4200109688,https://doi.org/10.54605/fec20210204,10.54605/fec20210204,Time Reallocation and the Cost and Benefit of School Closures during an Epidemic,2021,2021-12-15,article,1,Frontiers of Economics in China,1673-3444,Brill,FALSE,FALSE,4
doi:10.1108/afr-05-2023-0054,W4386804267,https://doi.org/10.1108/afr-05-2023-0054,10.1108/afr-05-2023-0054,Beginning farmer status and financial performance differentials,2023,2023-09-16,article,1,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,4
doi:10.1016/j.cdnut.2023.100292,W4385306485,https://doi.org/10.1016/j.cdnut.2023.100292,10.1016/j.cdnut.2023.100292,OR23-07-23 The Influence of Food Assistance Program Participation on the Quality of the Home Food Environment Is Modified by Household Food Security Levels,2023,2023-07-01,article,0,Current Developments in Nutrition,2475-2991,Elsevier BV,TRUE,FALSE,6
doi:10.56103/nactaj.v69i1.210,W4410430809,https://doi.org/10.56103/nactaj.v69i1.210,10.56103/nactaj.v69i1.210,Examination of the Effectiveness of an Institutional Intervention to Improve Retention at an Agricultural College,2025,2025-05-16,article,0,NACTA Journal,0149-4910,NA,TRUE,FALSE,6
doi:10.1016/j.scitotenv.2025.179814,W4411225024,https://doi.org/10.1016/j.scitotenv.2025.179814,10.1016/j.scitotenv.2025.179814,Characterizing community water systems exposed to wildfire in the Western U.S.,2025,2025-06-12,article,0,The Science of The Total Environment,0048-9697,Elsevier BV,FALSE,FALSE,7
doi:10.1080/08941920.2025.2572064,W4415021393,https://doi.org/10.1080/08941920.2025.2572064,10.1080/08941920.2025.2572064,How Sense of Place Influences Willingness to Pay for Sustainable Wolf Populations,2025,2025-10-10,article,0,Society & Natural Resources,0894-1920,Taylor & Francis,FALSE,FALSE,3
doi:10.5032/jae.v66i4.3220,W4417097694,https://doi.org/10.5032/jae.v66i4.3220,10.5032/jae.v66i4.3220,Understanding Barriers to SAE Implementation and Professional Development Needs of Middle School SBAE Teachers,2025,2025-12-07,article,0,Journal of Agricultural Education,1042-0541,American Association for Agricultural Education,TRUE,FALSE,2
doi:10.5032/jae.v67i1.3218,W7118128088,https://doi.org/10.5032/jae.v67i1.3218,10.5032/jae.v67i1.3218,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge among Colorado Agricultural Educators,2026,2026-01-04,article,0,Journal of Agricultural Education,1042-0541,American Association for Agricultural Education,TRUE,FALSE,4
doi:10.1002/ajae.70071,W7152708484,https://doi.org/10.1002/ajae.70071,10.1002/ajae.70071,Food insecurity and unemployment among immigrants in the United States,2026,2026-04-09,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4
doi:10.31223/x5518b,W7153033473,https://doi.org/10.31223/x5518b,10.31223/x5518b,Climate variability introduces uncertainty into future emissions pathways,2026,2026-04-10,preprint,0,NA,NA,NA,TRUE,FALSE,4
doi:10.1111/gcb.70909,W7160869339,https://doi.org/10.1111/gcb.70909,10.1111/gcb.70909,Soil Organic Carbon Improves Crop Yield and Yield Resilience,2026,2026-05-01,article,0,Global Change Biology,1354-1013,Wiley,FALSE,FALSE,4
doi:10.1002/wat2.1571,W4200579997,https://doi.org/10.1002/wat2.1571,10.1002/wat2.1571,Dry landscapes and parched economies: A review of how drought impacts nonagricultural socioeconomic sectors in the <scp>US</scp> Intermountain West,2021,2021-12-29,article,38,Wiley Interdisciplinary Reviews Water,2049-1948,Wiley,TRUE,FALSE,6
doi:10.1016/j.meatsci.2024.109597,W4400612753,https://doi.org/10.1016/j.meatsci.2024.109597,10.1016/j.meatsci.2024.109597,Consumer willingness to pay (WTP) for beef based on color and price discounts,2024,2024-07-14,article,24,Meat Science,0309-1740,Elsevier BV,TRUE,FALSE,5
doi:10.1002/aepp.13096,W3089211388,https://doi.org/10.1002/aepp.13096,10.1002/aepp.13096,Emergency Food Provision for Children and Families during the <scp>COVID</scp>‐19 Pandemic: Examples from Five U.S. Cities,2020,2020-09-24,article,60,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,13
doi:10.1016/j.ijpe.2022.108534,W4281850555,https://doi.org/10.1016/j.ijpe.2022.108534,10.1016/j.ijpe.2022.108534,Facility locations in the fresh produce supply chain: An integration of optimization and empirical methods,2022,2022-06-01,article,27,International Journal of Production Economics,0925-5273,Elsevier BV,TRUE,FALSE,5
doi:10.1029/2021wr030712,W4281790344,https://doi.org/10.1029/2021wr030712,10.1029/2021wr030712,Implicit and Explicit Biases for Recycled Water and Tap Water,2022,2022-05-31,article,19,Water Resources Research,0043-1397,Wiley,TRUE,FALSE,4
doi:10.1111/ajae.12404,W4380190325,https://doi.org/10.1111/ajae.12404,10.1111/ajae.12404,Dynamic model of entry: Dollar stores,2023,2023-05-30,article,16,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,3
doi:10.1111/ajae.12192,W3130764381,https://doi.org/10.1111/ajae.12192,10.1111/ajae.12192,Peers in the Field: The Role of Ability and Gender in Peer Effects among Agricultural Workers,2021,2021-02-16,article,12,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,2
doi:10.1371/journal.pone.0261833,W4206111445,https://doi.org/10.1371/journal.pone.0261833,10.1371/journal.pone.0261833,Summer crowds: An analysis of USFS campground reservations during the COVID-19 pandemic,2022,2022-01-12,article,10,PLoS ONE,1932-6203,Public Library of Science,TRUE,FALSE,3
doi:10.1016/j.resconrec.2025.108325,W4409634153,https://doi.org/10.1016/j.resconrec.2025.108325,10.1016/j.resconrec.2025.108325,Island economies in the wake: Assessing increased shipping cost effects from carbon taxes on maritime trade,2025,2025-04-21,article,9,Resources Conservation and Recycling,0921-3449,Elsevier BV,FALSE,FALSE,2
doi:10.1016/j.foodpol.2024.102769,W4404872324,https://doi.org/10.1016/j.foodpol.2024.102769,10.1016/j.foodpol.2024.102769,The Information Value of Geographical Indications,2024,2024-11-30,article,8,Food Policy,0306-9192,Elsevier BV,FALSE,FALSE,4
doi:10.1111/twec.13731,W4412138115,https://doi.org/10.1111/twec.13731,10.1111/twec.13731,Tariff Troubles: Repercussions of Protectionist Policies on US Agriculture and the Trade Deficit,2025,2025-07-09,article,5,World Economy,0378-5920,Wiley,TRUE,FALSE,3
doi:10.1016/j.foodpol.2025.102996,W4416437729,https://doi.org/10.1016/j.foodpol.2025.102996,10.1016/j.foodpol.2025.102996,A review of data linkages for policy-informing research in food and agricultural economics,2025,2025-11-01,article,3,Food Policy,0306-9192,Elsevier BV,FALSE,FALSE,6
doi:10.3389/fvets.2026.1752899,W7127067078,https://doi.org/10.3389/fvets.2026.1752899,10.3389/fvets.2026.1752899,Potential economy-wide impacts of an African swine fever outbreak in the United States,2026,2026-02-02,article,3,Frontiers in Veterinary Science,2297-1769,Frontiers Media,TRUE,FALSE,6
doi:10.1029/2022jd037446,W4309691277,https://doi.org/10.1029/2022jd037446,10.1029/2022jd037446,Smoke‐Driven Changes in Photosynthetically Active Radiation During the U.S. Agricultural Growing Season,2022,2022-11-22,article,11,Journal of Geophysical Research Atmospheres,0148-0227,American Geophysical Union,TRUE,FALSE,4
doi:10.1002/agr.21688,W3121785173,https://doi.org/10.1002/agr.21688,10.1002/agr.21688,Promoting farmers market via information nudges and coupons: A randomized control trial,2021,2021-01-25,article,10,Agribusiness,0742-4477,Wiley,FALSE,FALSE,3
doi:10.1111/josh.13013,W3155036107,https://doi.org/10.1111/josh.13013,10.1111/josh.13013,The Impact of State Farm to School Procurement Incentives on School Purchasing Decisions,2021,2021-04-12,article,10,Journal of School Health,0022-4391,Wiley,FALSE,FALSE,4
doi:10.1111/ajae.12224,W3157171384,https://doi.org/10.1111/ajae.12224,10.1111/ajae.12224,Conformity and Conservation: Evidence from Home Landscaping and Water Conservation,2021,2021-05-05,article,9,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,4
doi:10.1016/j.gecco.2023.e02576,W4384008743,https://doi.org/10.1016/j.gecco.2023.e02576,10.1016/j.gecco.2023.e02576,Willingness to pay for reintroducing wolves in a divided voting base,2023,2023-07-12,article,6,Global Ecology and Conservation,2351-9894,Elsevier BV,TRUE,FALSE,6
doi:10.1007/s11151-023-09926-w,W4387817813,https://doi.org/10.1007/s11151-023-09926-w,10.1007/s11151-023-09926-w,Retail Markups and Discount-Store Entry,2023,2023-10-20,article,6,Review of Industrial Organization,0889-938X,Springer Science+Business Media,TRUE,FALSE,4
doi:10.1016/j.foohum.2025.100639,W4410198897,https://doi.org/10.1016/j.foohum.2025.100639,10.1016/j.foohum.2025.100639,Addressing retail meat waste: A focus group study on discolored beef,2025,2025-05-01,article,5,Food and Humanity,2949-8244,Elsevier BV,TRUE,FALSE,6
doi:10.1016/j.foodpol.2025.102827,W4408472773,https://doi.org/10.1016/j.foodpol.2025.102827,10.1016/j.foodpol.2025.102827,Dollar store impact on local labor markets and retail activity,2025,2025-03-14,article,3,Food Policy,0306-9192,Elsevier BV,FALSE,FALSE,4
doi:10.1016/j.prevetmed.2025.106558,W4410384050,https://doi.org/10.1016/j.prevetmed.2025.106558,10.1016/j.prevetmed.2025.106558,Integrating epidemiological and economic models to estimate the cost of simulated foot-and-mouth disease outbreaks in Brazil,2025,2025-05-15,article,3,Preventive Veterinary Medicine,0167-5877,Elsevier BV,FALSE,FALSE,8
doi:10.1002/agr.21743,W4281647998,https://doi.org/10.1002/agr.21743,10.1002/agr.21743,"Food retail profits, competition, and the Great Recession",2022,2022-05-27,article,6,Agribusiness,0742-4477,Wiley,TRUE,FALSE,2
doi:10.1111/coep.12564,W4211021726,https://doi.org/10.1111/coep.12564,10.1111/coep.12564,The local effects of federal law enforcement policies: Evidence from sanctuary jurisdictions and crime,2022,2022-02-08,article,5,Contemporary Economic Policy,1074-3529,Wiley,FALSE,FALSE,2
doi:10.1162/99608f92.24c26aa9,W4393404128,https://doi.org/10.1162/99608f92.24c26aa9,10.1162/99608f92.24c26aa9,Creating Engagements: Bringing the User Into Data Democratization,2024,2024-04-02,article,3,NA,NA,NA,TRUE,FALSE,1
doi:10.1108/jm2-02-2024-0042,W4401516848,https://doi.org/10.1108/jm2-02-2024-0042,10.1108/jm2-02-2024-0042,Determining the optimal food hub location in the fresh produce supply chain,2024,2024-08-12,article,2,Journal of Modelling in Management,1746-5664,Emerald Publishing Limited,FALSE,FALSE,5
doi:10.1093/qopen/qoag010,W7151891273,https://doi.org/10.1093/qopen/qoag010,10.1093/qopen/qoag010,"Food fights in the classroom: a case study exploring the connections between economic reasoning, critical thinking, engagement, and dialogue in polarized contexts",2026,2026-04-04,article,1,Q Open,2633-9048,Oxford University Press,TRUE,FALSE,2
doi:10.1007/s00181-021-02123-2,W3201299049,https://doi.org/10.1007/s00181-021-02123-2,10.1007/s00181-021-02123-2,Strategic supermarket pricing of private labels and manufacturer brands,2021,2021-09-16,article,5,Empirical Economics,0377-7332,Springer Science+Business Media,FALSE,FALSE,2
doi:10.1017/jwe.2021.8,W3156003308,https://doi.org/10.1017/jwe.2021.8,10.1017/jwe.2021.8,Consumer Stigma and the Reputation Trap Hypothesis: An In-Store Experiment with Colorado Wines,2021,2021-04-12,article,2,Journal of Wine Economics,1931-4361,Cambridge University Press,TRUE,FALSE,2
doi:10.1002/wat2.1586,W4221017855,https://doi.org/10.1002/wat2.1586,10.1002/wat2.1586,Data availability and sector‐specific frameworks restrict drought impact quantification in the Intermountain West,2022,2022-03-26,article,1,Wiley Interdisciplinary Reviews Water,2049-1948,Wiley,TRUE,FALSE,6
doi:10.1111/ajae.12198,W3130263887,https://doi.org/10.1111/ajae.12198,10.1111/ajae.12198,"Three Good Reasons for Reading “Wine Economics,” by Stefano Castriota, 2020, The MIT Press",2021,2021-02-17,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,1
doi:10.1002/jaa2.131,W4400204195,https://doi.org/10.1002/jaa2.131,10.1002/jaa2.131,Federal economic data on local and regional food producers,2024,2024-07-01,article,0,Journal of the Agricultural and Applied Economics Association,2769-2485,Wiley,TRUE,FALSE,5
doi:10.1002/aepp.13503,W4408333772,https://doi.org/10.1002/aepp.13503,10.1002/aepp.13503,US employment exposure to domestic and foreign tariff changes under <scp>NAFTA</scp>,2025,2025-02-27,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4
doi:10.1002/agr.22051,W4409601532,https://doi.org/10.1002/agr.22051,10.1002/agr.22051,Grocery Stockouts and Seller Performance in Amazon's Marketplaces,2025,2025-04-18,article,0,Agribusiness,0742-4477,Wiley,TRUE,FALSE,3
doi:10.22434/ifamr.0001,W4411704991,https://doi.org/10.22434/ifamr.0001,10.22434/ifamr.0001,Machine learning in applied economics and agribusiness: emerging applications and integration with traditional methods,2025,2025-06-25,article,0,The International Food and Agribusiness Management Review,1096-7508,International Food and Agribusiness Management Association,TRUE,FALSE,3
doi:10.1002/aepp.70039,W4416563969,https://doi.org/10.1002/aepp.70039,10.1002/aepp.70039,Quantitative Comparison of Ad‐Valorem Equivalents for Non‐Tariff Trade Measures: <scp>WTO</scp> Versus <scp>TRAINS</scp>,2025,2025-11-23,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4
doi:10.1002/aepp.70031,W4416825524,https://doi.org/10.1002/aepp.70031,10.1002/aepp.70031,Relationship Between Knowledge and Compliance With Safety Measures: Evidence From <scp>COVID</scp> ‐19,2025,2025-11-29,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,3
doi:10.1002/aepp.70047,W7116446301,https://doi.org/10.1002/aepp.70047,10.1002/aepp.70047,"Livestock Tango: U.S. and Latin America Dance Together, but Who Will Lead?",2025,2025-12-19,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,3
doi:10.1111/ajae.12212,W3130877874,https://doi.org/10.1111/ajae.12212,10.1111/ajae.12212,The Importance of Agriculture in the Economy: Impacts from <scp>COVID</scp>‐19,2021,2021-02-22,article,189,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,2
doi:10.1093/qopen/qoab005,W3146301825,https://doi.org/10.1093/qopen/qoab005,10.1093/qopen/qoab005,"The impacts of COVID-19 on GDP, food prices, and food security",2021,2021-01-01,article,51,Q Open,2633-9048,Oxford University Press,TRUE,FALSE,3
doi:10.1016/j.scitotenv.2023.161964,W4318828324,https://doi.org/10.1016/j.scitotenv.2023.161964,10.1016/j.scitotenv.2023.161964,Assessment of vulnerability to water shortage in semi-arid river basins: The value of demand reduction and storage capacity,2023,2023-02-01,article,34,The Science of The Total Environment,0048-9697,Elsevier BV,TRUE,FALSE,5
doi:10.1002/aepp.13468,W4402116092,https://doi.org/10.1002/aepp.13468,10.1002/aepp.13468,Global economic effects of war‐induced agricultural export declines from Ukraine,2024,2024-09-01,article,24,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,5
doi:10.1371/journal.pone.0310268,W4405940882,https://doi.org/10.1371/journal.pone.0310268,10.1371/journal.pone.0310268,Economic effects of livestock disease burden in Ethiopia: A computable general equilibrium analysis,2024,2024-12-31,article,14,PLoS ONE,1932-6203,Public Library of Science,TRUE,FALSE,5
doi:10.1016/j.rala.2024.05.006,W4407209665,https://doi.org/10.1016/j.rala.2024.05.006,10.1016/j.rala.2024.05.006,The economic fundamentals of virtual fencing compared to traditional fencing,2025,2025-02-01,article,14,Rangelands,0190-0528,Elsevier BV,TRUE,FALSE,8
doi:10.1007/978-3-030-45367-1_14,W3127790114,https://doi.org/10.1007/978-3-030-45367-1_14,10.1007/978-3-030-45367-1_14,Economics of Invasive Species,2021,2021-01-01,book-chapter,39,NA,NA,NA,TRUE,FALSE,8
doi:10.1109/ojcs.2021.3085846,W3166708802,https://doi.org/10.1109/ojcs.2021.3085846,10.1109/ojcs.2021.3085846,"Lattice: A Vision for Machine Learning, Data Engineering, and Policy Considerations for Digital Agriculture at Scale",2021,2021-01-01,article,33,IEEE Open Journal of the Computer Society,2644-1268,Institute of Electrical and Electronics Engineers,TRUE,FALSE,8
doi:10.1016/j.reseneeco.2019.101143,W2994849090,https://doi.org/10.1016/j.reseneeco.2019.101143,10.1016/j.reseneeco.2019.101143,"Depletion, climate, and the incremental value of groundwater",2019,2019-12-20,article,32,Resource and Energy Economics,0928-7655,Elsevier BV,FALSE,FALSE,5
doi:10.1007/s10683-020-09650-2,W3012531244,https://doi.org/10.1007/s10683-020-09650-2,10.1007/s10683-020-09650-2,Learning to accept welfare-enhancing policies: an experimental investigation of congestion pricing,2020,2020-03-20,article,24,Experimental Economics,1386-4157,Springer Science+Business Media,TRUE,FALSE,5
doi:10.1016/j.agwat.2022.107764,W4282928459,https://doi.org/10.1016/j.agwat.2022.107764,10.1016/j.agwat.2022.107764,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer region,2022,2022-06-15,article,23,Agricultural Water Management,0378-3774,Elsevier BV,FALSE,FALSE,6
doi:10.1007/s11119-021-09807-w,W3158856111,https://doi.org/10.1007/s11119-021-09807-w,10.1007/s11119-021-09807-w,"Understanding the farm data lifecycle: collection, use, and impact of farm data on U.S. commercial corn and soybean farms",2021,2021-04-24,article,19,Precision Agriculture,1385-2256,Springer Science+Business Media,TRUE,FALSE,3
doi:10.1093/qopen/qoac028,W4302760106,https://doi.org/10.1093/qopen/qoac028,10.1093/qopen/qoac028,Economic assessment of foot-and-mouth disease outbreaks in Brazil,2022,2022-01-01,article,15,Q Open,2633-9048,Oxford University Press,TRUE,FALSE,4
doi:10.1371/journal.pwat.0000278,W4401695105,https://doi.org/10.1371/journal.pwat.0000278,10.1371/journal.pwat.0000278,A review of residential water conservation policies and attempts to measure their effectiveness,2024,2024-08-19,article,11,PLOS Water,2767-3219,Public Library of Science,TRUE,FALSE,3
